id,title,detail,min_player,max_player,min_playtime,max_playtime,category,tag,difficulty,bgg_id,theme
11,카르카손,타일을 놓아 성을 짓고 길을 이어 점수를 얻으세요. 아름다운 중세 도시 카르카손의 풍경을 함께 완성하세요. 간단한 규칙이지만 할 때마다 새롭고 재미있습니다. 배우기 쉬우면서도 무한한 재미를 보장하는 명작 최고의 보드게임 중 하나로 손꼽히는 카르카손을 지금 만나 보세요.,2,5,30,45,"City Building, Medieval, Territory Building","땅따먹기, 중세, 타일, 전략",1.9064,822,west
12,카탄,찬란하게 발전하는 카탄 섬과 점차 다가오는 위협! 여러분의 기여로 이제 카탄섬은 발전에 발전을 거듭하여 찬란한 문명을 꽃피우게 되었습니다. 그러나 발전에는 그늘이 뒤따르는법 카탄 섬의 풍요로움이 바다 건너 야만족의 주목을 끌었습니다. 야만족 무리가 들이닥치기 전에 문명을 발전시키고 강력한 기사단을 양성하여 다가오는 습격에 대비하세요.,3,4,60,120,"Economic, Negotiation","주사위, 타일, 레이스",2.3139,13,west
13,스플렌더,"중세 최고의 보석상이 되어보세요! 개발 카드를 통해서 보석을 차근차근 모아 보세요. 반짝이는 보석들을 모으면 이에 반한 귀족들이 당신에게 협력할 것입니다.
가장 많은 재산을 모아 최고의 보석상이 되어보세요.",2,4,30,30,"Card Game, Economic, Renaissance","카드게임, 레이스, 중세",1.7951,148228,middle
14,아줄,어떤 타일로 왕궁 벽면을 꾸미면 좋을까? 스페인의 알람브라 궁전에 방문한 포르투갈 국왕 마누엘 1세는 궁전 벽면을 화려하게 장식한 아름다운 타일들에 반해버렸습니다. 포르투갈의 타일 장인이 되어 에보라 왕궁을 화려하게 수놓아 주세요!,2,4,30,45,"Abstract Strategy, Puzzle, Renaissance","퍼즐, 디자인, 타일, ",1.7639,230802,puzzle
15,시타델,중세… 귀족… 난무하는 권모술수 음모와 배신이 쉴 새 없이 펼쳐진다! 시타델은 수많은 사람에게 사랑받아온 보드게임입니다. 때로는 협력하고 때로는 배신하며 중세 최고의 도시를 만들어보세요.,2,8,20,60,"Bluffing, Card Game, City Building, Deduction, Fantasy, Medieval","중세, 카드, 기만, 수집",2.0524,478,middle
16,로스트 시티,"숨겨진 고대 도시를 탐험하세요!
 세계 곳곳에 숨은 신비한 미개척지를 찾아보세요. 얼음지대 열대우림 사막 용암 동굴 바닷속 등등 사람의 손길이 오랫동안 끊겼던 곳에 막대한 보물이 숨어있습니다. 여러분이 탐험로를 충분히 길게 잇는다면 많은 보물을 찾아낼 수 있을 것입니다.",2,2,30,30,"Card Game, Exploration","탐험, 정글, 모험",1.4921,50,jungle
17,레지스탕스 아발론,레지스탕스 아발론은 가장 완성된 마피아게임이란 평가를 받는 게임입니다. 이 게임속에선 마피아와 시민이 아닌 아서왕의 충성스러운 기사들과 모드레드의 악한 수하들이 브리튼의 미래를 놓고 싸웁니다. 여러분은 두 진영 중 하나에 속한채 정체를 숨기고 임무를 완수해야 합니다.,5,10,30,30,"Bluffing, Card Game, Deduction, Fantasy, Medieval, Negotiation, Party Game, Spies/Secret Agents","마피아게임, 파티게임, 중세",1.7612,128882,middle
18,뱅,때는 서부 개척 시대 저마다 목적이 다른 총잡이들이 한 마을에 모였습니다. 마을의 평화를 지키려는 보안관 보안관을 도와 악당들을 물리치려는 부관 보안관을 쓰러뜨리고 한탕 하려는 무법자 방해되는 이를 모두 제거하고 새로운 보안관이 되려는 배신자. 보안관만 빼고는 누가 어떤 목적을 가졌는지 아무도 모릅니다. 이 난투극의 한복판에서 목적을 이루는 것은 누구일까요? 총알 한 발 맥주 한 잔에 울고 웃는 고독한 총잡이들의 승부!,4,7,20,40,"American West, Bluffing, Card Game, Deduction, Fighting","카드게임, 삼파전, 서부시대, 보안관",1.6334,3955,west
19,스페이스 크루,스페이스 크루에선 플레이어들에게 다양한 임무가 주어집니다. 플레이어들은 서로 경쟁하는 것이 아니라 힘을 합쳐 함께 임무를 완수해야하죠. 하지만 우주공간에서의 통신은 까다롭기 때문에 서로간의 의사소통에 제한이 있다는 문제가 있어 온전히 힘을 합치기 어렵습니다. 이런 악조건 속에서도 무사히 임무를 완수하여 다시 지구로 안전하게 돌아오기를 기원합니다.,2,5,20,20,"Card Game, Science Fiction, Space Exploration","카드게임, 공상과학, 전략, 우주",1.9937,284083,space
20,클루,6명의 손님이 미스터리한 초대장을 받은 후 보든 '바디' 블랙의 집인 튜더 저택에 도착합니다. 블랙은 각각의 손님이 자신을 돕지 않을 수 없는 완벽한 협박 카드를 가지고 있다는것을 밝힙니다. 블랙을 돕지 않는 다면 자신들의 비밀이 만천하에 공개될 것입니다. 잠시후 블랙이 자리를 뜨자 손님들은 저마다 생각을 하기 위해 흩어집니다. 그때 어디선가 비명이 울리고 손님들은 블랙이 살해된 것을 발견합니다. 당신은 이 미스터리를 해결해야 합니다.,2,6,45,45,"Bluffing, Deduction, Movies / TV / Radio theme, Murder/Mystery","공포, 호러, 미스테리, 블러핑",1.6563,1294,horror
